135       | DCE endpoint resolution 
135       | Microsoft EPMAP (End Point Mapper), also known as DCE/RPC Locator service,[15] used to remotely manage services including DHCP server, DNS server and WINS. Also used by DCOM 
445       | Microsoft-DS Active Directory, Windows shares 
445       | Microsoft-DS SMB file sharing 
5040      | Not specified 
5130      | Not specified 
5354      | Not specified 
5357      | Web Services for Devices (WSDAPI) (only provided by Windows Vista, Windows 7 and Server 2008) 
6463      | Not specified 
15611     | Not specified 
18020     | Not specified 
25068     | Not specified 
27060     | Not specified 
49442     | Not specified 
49447     | Not specified 
49664     | Not specified 
49665     | Not specified 
49666     | Not specified 
49668     | Not specified 
49667     | Not specified 
49668     | Not specified 
49668     | Not specified 
49667     | Not specified 
49668     | Not specified 
49667     | Not specified 
49668     | Not specified 
49667     | Not specified 
49668     | Not specified 
49667     | Not specified 
49667     | Not specified 
